TNR;Weite;Tiefe;z0;z10;z15;z20;z30;z40
A;1.55;0.3;23.8;22.36;21.82;21.06;19.76;18.73
A;2.55;0.41;23.36;22.85;21.93;21.85;19.99;19.34
A;3.05;0.55;23.61;22.46;21.41;20.98;19.72;19.15
A;3.55;0.62;23.03;21.84;21.49;21;20.05;19.05
A;4.05;0.72;23.61;22.01;21.67;20.52;20.31;19.83
B;0;0.52;20.64;19.98;19.61;19.39;19.08;18.92
B;0.5;0.52;20.68;20.19;19.91;19.68;19.38;18.98
B;1;0.55;20.87;20.17;19.95;19.87;19.46;19.4
B;1.5;0.6;20.8;20.35;20.26;19.98;19.76;-9999
B;2.5;0.66;20.73;20.45;20.27;20.04;19.86;19.49
B;3.75;0.76;20.77;20.42;20.33;19.97;19.76;19.66
B;5.65;0.82;20.71;20.44;20.44;20.11;19.8;-9999
C;0.1;0.18;19.01;17.13;-9999;16.66;16.41;16.15
C;0.65;0.21;18.99;17.62;-9999;17.06;16.79;-9999
C;1.25;0.26;18.99;17.63;-9999;17.24;16.96;16.73
C;1.9;0.3;19.35;18.03;-9999;17.56;17.22;17.02
C;2.8;0.42;19.3;18.52;-9999;17.99;-9999;-9999
C;3.8;0.53;19.45;18.53;-9999;17.99;17.73;17.32
C;4.55;0.63;19.49;18.73;-9999;18.1;17.77;17.47
C;5.1;0.73;19.67;18.51;-9999;18.12;-9999;17.69
C;5.95;0.92;19.27;18.55;-9999;18.21;17.98;17.64
D;0;0.22;21.88;20.9;20.14;20;19.16;18.74
D;0.5;0.32;21.58;21.02;20.58;20.2;19.79;19.13
D;1;0.37;21.44;20.99;20.41;20.24;19.67;19.42
D;1.5;0.43;21.42;20.66;20.28;20.21;19.52;19.21
D;2;0.54;20.93;20.42;20.31;20.06;19.63;19.36
D;3;0.84;20.77;20.43;20.28;20.15;19.96;19.59
E;0.5;0.36;21.1;19.97;19.75;19.62;18.95;18.15
E;1;0.43;21.2;20.21;19.92;19.78;19.22;18.53
E;1.5;0.57;21.17;20.21;19.98;19.75;19.37;17.94
E;2;0.67;21.31;19.99;19.81;19.6;19.17;18.34
E;2.5;0.77;21.05;19.77;19.49;19.44;18.81;18.56
F;0;0.21;21.3;20.55;19.88;19.55;18.93;18.5
F;0.4;0.26;22.86;21.28;20.43;20.06;19.56;19.15
F;0.9;0.37;22.25;22.4;20.74;20.34;19.78;19.06
F;1.4;0.41;22.44;21.19;20.6;20.01;19.49;19.3
F;1.9;0.51;22.36;21.47;20.54;20.48;19.71;19.7
F;2.4;0.56;22.66;21.51;20.68;20.61;19.81;19.36
F;2.9;0.63;22.21;21.73;20.66;20.21;19.82;19.62
F;3.4;0.71;22.13;21.9;21;20.99;20.02;19.91
G;1.5;0.33;22.8;20.57;18.5;18.58;16.53;16.65
G;2;0.41;22.3;19.75;19.34;18.82;16.98;17.03
G;2.5;0.55;22.69;20.05;18.73;19.15;16.92;17
G;3;0.64;22.62;19.24;17.56;16.22;15.24;15.1
G;3.5;0.71;22.72;19.44;17.76;17.89;15.67;15.89
G;3.82;0.81;22.53;19.57;17.74;17.91;15.18;15.78
Ga;1.1;0.3;25.07;22.18;21.35;19.98;18.63;17.35
Ga;1.38;0.6;24.65;21.44;20.82;20.16;18.52;17.68
Ga;1.65;0.4;25.37;22.66;21.26;20.61;18.83;17.82
Ga;1.93;0.5;24.6;21.88;19.69;19.21;17.96;16.88
Ga;1.95;0.7;24.51;20.9;19.97;19.27;18.1;17.05
Ga;2.3;0.8;24.53;20.55;19.6;18.74;17.95;16.72
Gb;1.1;0.3;25.49;21.72;20.7;19.68;17.98;17.08
Gb;1.25;0.5;25.13;21.39;20.18;19.57;18.51;16.97
Gb;1.7;0.4;24.94;21.82;20.89;19.57;18;16.67
Gb;1.85;0.6;24.37;21.26;21.05;20.03;18.33;16.85
Gb;2.15;0.7;24.99;21.11;19.78;18.26;17.98;15.27
Gb;2.42;0.8;24.82;19.23;19.22;18.94;16.91;15.54
Gc;1.2;0.3;25.55;21.68;21.18;18.98;18.41;17.29
Gc;1.7;0.4;25.25;21.38;20.69;19.86;18.35;17.46
Gc;2.35;0.5;25.13;22.02;21.25;19.79;18.7;17.83
Gc;2.35;0.7;25.07;20.17;19.64;19;18.4;17.42
Gc;2.7;0.8;25.01;20.06;19.5;19.08;17.93;17.1
Gc;2.95;0.6;25.05;20.64;19.8;19.45;18.37;17.63
Gd;1.5;0.3;25.14;21.09;20.29;19.55;18.88;18.05
Gd;2.7;0.4;25.15;22.25;21.19;20.29;19.48;18.42
Gd;3.1;0.5;24.97;21.95;20.74;20.52;19.2;18.49
Gd;3.6;0.6;25.11;21.44;20.93;20.14;19.44;18.24
Gd;3.85;0.7;24.95;21.93;21.07;20.31;19.1;18.33
Gd;4.1;0.8;25;21.66;20.72;19.74;18.75;17.33
Ge;1.5;0.3;25.04;22.11;21.19;20.58;19.29;18.3
Ge;2.3;0.4;24.99;21.45;20.73;20;19;18.78
Ge;2.65;0.5;25.02;21.45;21.09;20.02;19.12;18.37
Ge;3.05;0.6;24.94;21.31;20.75;20.02;19.43;18.08
Ge;3.3;0.7;25.02;21.76;21.07;20.14;18.55;17.63
Ge;3.75;0.8;24.9;21.12;20.73;20.62;18.77;17.19
H;0;0.3;22.53;20.39;19.64;19.23;18.39;17.82
H;0.4;0.37;22.2;20.27;19.33;18.78;18.1;17.53
H;0.8;0.45;21.95;20.07;19.55;18.98;18.29;17.7
H;1.1;0.57;22.1;21.21;20.41;19.73;18.91;18.92
H;1.45;0.64;21.96;21.19;20.35;19.65;18.9;18.34
H;1.8;0.71;22.13;21.31;20.16;19.99;19.17;18.43
H;2.3;0.84;22.28;20.69;20.11;19.58;19.18;18.41
I;0.55;0.25;21.77;21.71;21.13;20.2;19.71;17.92
I;0.81;0.31;22.99;20.57;19.91;19.54;19.6;19.2
I;1.05;0.38;22.7;21.81;20.08;20.06;18.53;19.22
I;1.55;0.53;21.58;21.52;20.83;20.36;19.86;18.44
I;2;0.8;22.32;21.06;20.87;20.31;19.85;19.45
J;0.1;0.1;19.58;15.78;-9999;14.89;14.31;13.98
J;0.55;0.2;19.33;15.92;-9999;15.31;14.85;14.6
J;1.2;0.3;19.64;16.63;-9999;16.04;15.54;15.21
J;2;0.44;19.67;17.53;-9999;16.61;16.1;15.88
J;2.9;0.63;19.63;18.22;-9999;17.27;16.67;16.08
J;3.55;0.72;19.41;18.2;-9999;17.26;16.67;16.12
J;4.2;0.84;19.66;18.2;-9999;17.4;16.85;16.22
J;4.85;0.95;19.21;18.35;-9999;17.54;16.94;16.44
Ja;0;0.1;24.71;20.55;19.37;18.78;17.41;16.21
Ja;0.8;0.2;24.76;21.08;19.98;19.45;18.15;16.97
Ja;1.35;0.3;24.6;21.76;20.54;20.24;18.54;17.72
Ja;1.9;0.4;25.44;21.98;21.07;20.6;19.24;18.35
Ja;2.4;0.5;24.16;22;20.88;20.5;18.89;18.34
Ja;2.85;0.6;23.45;21.99;21.06;20.54;19.3;18.09
Ja;3.25;0.7;23.29;22.07;21.11;20.52;19.05;18.87
Ja;3.75;0.8;23.84;21.29;20.47;20.37;18.79;18.66
Jb;0.4;0.2;22.01;20.66;19.9;19.59;18.11;17.41
Jb;0.9;0.3;24.17;21.29;20.29;20.18;18.31;17.76
Jb;1.5;0.4;23.87;21.75;20.77;20.39;18.77;17.93
Jb;2.1;0.5;22.93;21.62;20.37;20.33;18.76;18.13
Jb;2.7;0.6;23.45;22.03;20.88;20.61;19.03;18.47
Jb;3.2;0.7;23.96;21.87;20.81;20.48;18.79;18.21
Jc;0.5;0.2;24.16;21.17;20;19.49;18.28;17.55
Jc;0.9;0.3;23.81;21.55;20.3;19.87;18.51;17.33
Jc;1.5;0.4;24.93;21.81;20.77;20.12;18.38;17.51
Jc;2.3;0.5;24.63;21.88;20.45;20.01;18.44;17.91
Jc;3;0.6;24.07;21.87;21.1;20.42;19.23;18.32
Jc;3.45;0.7;24.24;21.99;21.05;20.58;19.06;18.27
Jd;0.5;0.34;22.75;20.28;19.82;19.59;18.37;17.77
Jd;1;0.4;24.33;22.15;20.71;20.86;18.87;18.47
Jd;1.8;0.5;24.53;21.85;21.02;20.42;19;18.08
Jd;2.35;0.6;23.37;22.11;21.53;20.54;19.41;18.12
Jd;3;0.7;23.21;21.97;21.03;20.47;18.83;18.04
Je;0.6;0.15;24.33;22.96;21.64;21.26;19.62;18.99
Je;1.1;0.2;24.49;23.37;22.35;21.1;19.77;19.04
Je;2.65;0.3;24.05;23.26;22.22;21.3;19.84;19.05
Je;3.1;0.4;24.53;22.46;21.34;20.9;19.5;18.9
Je;3.65;0.5;23.09;22.15;21.16;20.82;19.35;18.67
Je;4.2;0.6;23.23;22.45;21.27;20.92;19.34;18.36
Je;4.8;0.7;23.81;22.43;21.36;20.45;18.92;18.18
K;0;0.16;21.11;19.65;18.99;18.97;18;17.48
K;0.5;0.23;21.97;20.17;19.88;19.37;18.3;18.22
K;1;0.27;22.31;20.74;20.23;19.53;18.55;18.21
K;1.5;0.37;22.11;21.11;20.62;-9999;-9999;-9999
